"date","name","change","Посада.в.Україні","Сфера діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","killed"
2022-12-20,"Начальник управления коммунальной собственности","TRUE","Начальник управління комунальної власності","Комунальна власність","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-12,"Дмитро Трухін ","ні","Україна","-","так"
2022-12-20,"Директор департамента культуры, спорта и молодёжи г. Мелитополь","TRUE","Начальник управління культури та молоді","Молодь і культура","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-07-14,"Костянтин Зайцев","ні","Україна","-","ні"
2022-12-20,"Министр Министерства здравоохранения Запорожской области","TRUE","Начальник відділу охорони здоровʼя ","Здоров'я","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-12-20,"Борис Александров","ні","Росія","-","ні"
2022-12-20,"Первая замминистра Министерства здравоохранения Запорожской области","TRUE","Начальник відділу охорони здоровʼя ","Здоров'я","департамент","Міністру Борису Александрову",2022-12-20,"Олена Борчанінова","ні","Росія","-","ні"
2022-12-20,"Замминистра Министерства здравоохранения Запорожской области","TRUE","Заступник начальника відділу охорони здоровʼя ","Здоров'я","департамент","Міністру Борису Александрову",2022-12-20,"Ірина Склянна","так","Україна","-","ні"
2022-12-20,"Советник министра Министерства здравоохранения Запорожской области","TRUE","Заступник начальника відділу охорони здоровʼя ","Здоров'я","департамент","Міністру Борису Александрову",2022-12-20,"Віктор Кучковий","ні","Україна","-","ні"
2022-12-20,"Начальник финансового управления","TRUE","Начальник фінансового управління","Фінанси","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-02,"Ольга Кумоняєва ","так","Україна","-","ні"
2022-12-20,"Директор департаменту охорони здоров'я","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Начальник відділу контролю виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Начальник відділу кадрів виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Начальник відділу ведення Держреєстру виборців","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Начальник відділу виконкому з інфотехнологій і захисту інформації","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Руководитель КП ""Коммунальная собственность""","TRUE","Директор КП ""Комунальна власність""","Управління комунальною власністю","комунальне підприємство","Военно-гражданская администрация г. Мелитополь Запорожской области",2022-11-24,"Тетяна Саєнко ","-","-","-","-"
