"date","name","change","position","sphere","killed","Посада.в.Україні","Сфера.діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","Ліквідовані.так.ні"
2022-05-12,"Директор КП ""Аптеки МЛТ""","FALSE","Директор КП ""Аптеки МЛТ""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор КП ""Мелітополькомунтранс""","FALSE","Директор КП ""Мелітополькомунтранс""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор Мунициального предприятия ""Водоканал-Мелитополь""","TRUE","Директор Мунициального предприятия ""Водоканал-Мелитополь""","Комунальні підприємства","ні","Директор КП ""Водоканал""","Водопостачання","комунальне підприємство","Военно-гражданская администрация г. Мелитополь Запорожской области",2022-05-04,"Юрій Онищук ","так","Україна","","ні"
2022-05-12,"Директор КП ""Міськсвітло""","FALSE","Директор КП ""Міськсвітло""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор КП ""Мелітопольжитлосервіс""","FALSE","Директор КП ""Мелітопольжитлосервіс""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор КП ""Житломасив""","FALSE","Директор КП ""Житломасив""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Начальник лінійного відділу на залізничній станції ""Мелітополь""","FALSE","Начальник лінійного відділу на залізничній станції ""Мелітополь""","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Мелітопольський міський відділ Нацполіції України","FALSE","Мелітопольський міський відділ Нацполіції України","Інше","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Начальник залізничної станції ""Мелітополь""","FALSE","Начальник залізничної станції ""Мелітополь""","Інше","так",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Начальник Мелітопольської державної податкової інспекції","FALSE","Начальник Мелітопольської державної податкової інспекції","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Окружний прокурор Мелітопольської міської прокуратури","FALSE","Окружний прокурор Мелітопольської міської прокуратури","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Голова Мелітопольського міськрайонного суду","FALSE","Голова Мелітопольського міськрайонного суду","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор ПАТ ""Мелітопольгаз""","FALSE","Директор ПАТ ""Мелітопольгаз""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Глава администрации города Мелитополь","TRUE","Глава администрации города Мелитополь","Міськрада та виконком","ні","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-07-14,"Директор департаменту реєстраційних послуг","FALSE","Директор департаменту реєстраційних послуг","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор департамента капстроительства и ЖКХ","TRUE","Директор департамента капстроительства и ЖКХ","Міськрада та виконком","ні","Директор департаменту капітального будівництва та ЖКГ ","ЖКГ","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-02,"Олексій Тегімбаєв ","так","Україна","-","ні"
2022-07-14,"Начальник управління соцзахисту населення","FALSE","Начальник управління соцзахисту населення","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Министр Министерства образования и науки","TRUE","Министр Министерства образования и науки","Освіта","ні","Начальник управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-16,"Олена Шапурова ","ні","Україна","Жінка разом з росвійськовими їздить в різні населені пункти окупованих територій (села, ОТГ, міста) й намагається організувати видимість навчального процесу. Також вона погрожувала вчителям, які не хочуть співпрацювати з росіянами та батькам, які не хочуть віддавати дітей у школи.","ні"
2022-07-14,"Замминистра Министерства образования и науки","TRUE","Замминистра Министерства образования и науки","Освіта","ні","Заступник начальника управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-17,"Вікторія Костроміна","ні","Україна","Вікторія Костроміна до окупації працювала під керівництвом Олени Шапурової.","ні"
2022-07-14,"Начальник управління фізкультури і спорту","FALSE","Начальник управління фізкультури і спорту","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Начальник управления коммунальной собственности","TRUE","Начальник управления коммунальной собственности","Міськрада та виконком","ні","Начальник управління комунальної власності","Комунальна власність","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-12,"Дмитро Трухін ","так","Україна","-","ні"
2022-07-14,"Директор департамента культуры, спорта и молодёжи г. Мелитополь","TODAY","<span class='transit-from'>Начальник управління культури та молоді &#10143; </span> <span class='transit-to'>Директор департамента культуры, спорта и молодёжи г. Мелитополь</span>","Міськрада та виконком","ні","Начальник управління культури та молоді","Молодь і культура","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-07-14,"Костянтин Зайцев","ні","Україна","Родич Балицького. Зайцев є чоловіком племінниці головного зрадника Євгена Балицького. Костянтин Зайцев став директором одразу кількох обʼєктів - КП «Мелітопольський міський парк», міського водноспортивного комплексу та міської льодової арени. ","ні"
2022-07-14,"Начальник відділу охорони здоровʼя ","FALSE","Начальник відділу охорони здоровʼя ","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Заступник начальника відділу охорони здоровʼя ","FALSE","Заступник начальника відділу охорони здоровʼя ","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Начальник финансового управления","TRUE","Начальник финансового управления","Міськрада та виконком","ні","Начальник фінансового управління","Фінанси","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-02,"Ольга Кумоняєва ","так","Україна","-","ні"
